#{"t_start": 1773582493.0100296, "env_id": "None"}
r,l,t
-1.191875,12,5.643889
-0.699687,12,5.653706
-0.93875,12,5.663485
-1.21,12,5.674052
-1.171562,12,5.684832
-1.195,12,5.703093
-1.196562,12,5.720562
-1.231875,12,5.732318
-0.70125,12,5.742886
-0.605937,12,5.756389
-0.634062,12,5.767578
-0.893437,12,5.77758
-1.174687,12,5.787536
-0.983437,12,5.797804
-0.945,12,5.807858
-0.637187,12,5.819182
3.0775,6,5.826509
3.0825,3,5.830077
-0.934062,12,5.843326
-1.258437,12,5.855076
-1.17625,12,5.867594
3.08625,2,5.871654
-0.595,12,5.888552
-0.6075,12,5.906575
-0.941875,12,5.92188
-1.187187,12,5.932328
-1.10125,12,5.943034
-0.668437,12,5.953966
-1.110625,12,5.964379
-1.1575,12,5.97763
-0.918437,12,5.989578
-0.945,12,6.001987
-0.6075,12,6.015348
-0.837187,12,6.029929
-1.173125,12,6.044158
-0.880937,12,6.061149
-0.966875,12,6.07562
-1.134062,12,6.087598
-0.8575,12,6.099648
-1.095,12,6.116095
-0.666875,12,6.129411
-1.315,12,6.143355
-0.665312,12,6.160721
-0.6325,12,6.17622
-0.9325,12,6.189867
-0.943437,12,6.204323
-0.649687,12,6.215089
-1.166875,12,6.22515
-1.195,12,6.235491
-0.699688,12,6.246595
-1.11375,12,6.257569
-1.174687,12,6.269757
-0.921562,12,6.284486
-0.66375,12,6.298024
-0.648125,12,6.30828
-1.21375,12,6.318908
-0.668437,12,6.334062
-1.1575,12,6.348149
-0.648125,12,6.358323
-1.195937,12,6.369622
-0.899687,12,6.385186
-1.141875,12,6.399161
-0.904375,12,6.411513
3.02625,8,6.423625
-0.927812,12,6.439511
-0.952812,12,6.449906
-0.840312,12,6.463218
-0.699062,12,6.473386
-0.96,12,6.483565
-1.202812,12,6.493501
-1.045,12,6.503241
-0.941875,12,6.513352
-0.90125,12,6.523266
-0.930937,12,6.533463
-0.879375,12,6.543383
-0.963125,12,6.553613
-1.16375,12,6.563541
-0.799375,12,6.576651
-0.602812,12,6.592089
-1.204375,12,6.603492
-0.898125,12,6.619404
-0.630937,12,6.634915
-0.662187,12,6.6459
-0.174687,12,6.657784
-1.16,12,6.672624
-1.074687,12,6.685769
3.06,9,6.697316
-0.695,12,6.707944
-0.645,12,6.718693
-1.1825,12,6.730504
-0.662188,12,6.741227
-0.9325,12,6.753384
-0.946562,12,6.763842
-0.862187,12,6.773531
-0.679375,12,6.783662
-1.109062,12,6.796314
-1.179375,12,6.811004
-0.736562,12,6.821693
-1.174687,12,6.831797
-0.66375,12,6.842112
-0.9325,12,6.852065
-0.916875,12,6.862403
-0.649687,12,6.872784
3.0825,3,6.875846
-0.912187,12,6.885439
-0.685625,12,6.895635
-0.616875,12,8.990676
-0.885625,12,9.002151
-0.866875,12,9.011858
-1.135625,12,9.022541
-1.209062,12,9.032443
-0.88875,12,9.044088
-1.068437,12,9.055798
-0.774687,12,9.067652
-0.921562,12,9.078047
3.08625,2,9.08066
-0.646562,12,9.091881
-0.95375,12,9.103823
-0.954375,12,9.115616
-0.587187,12,9.127532
-0.9075,12,9.138237
-1.16375,12,9.150491
-0.621562,12,9.162192
-0.677812,12,9.174145
-0.905937,12,9.185269
-1.179375,12,9.195742
-0.905937,12,9.20637
-0.646562,12,9.216508
-0.935625,12,9.227234
-0.937187,12,9.237808
-0.904375,12,9.248017
-0.865312,12,9.258496
-0.949687,12,9.269075
-0.666875,12,9.279178
-1.174687,12,9.289819
-0.949687,12,9.300709
-0.627812,12,9.311282
3.051875,7,9.319528
-0.687187,12,9.333938
-0.71,12,9.350513
-0.927812,12,9.361794
3.021875,10,9.370656
-0.880937,12,9.382185
-0.916875,12,9.397457
-0.649687,12,9.410284
-1.20125,12,9.420038
-0.946562,12,9.430195
-0.92,12,9.440152
-0.641875,12,9.450167
-1.20125,12,9.460492
-0.960625,12,9.470668
-0.859062,12,9.486274
-1.195,12,9.49951
-1.099687,12,9.509596
-0.9475,12,9.519555
-0.974062,12,9.529705
-0.884062,12,9.539752
-0.852812,12,9.549767
-0.948125,12,9.560473
-0.668437,12,9.574034
-0.893437,12,9.59203
-1.199687,12,9.607743
-1.17,12,9.619621
-1.184062,12,9.629795
-0.145,12,9.641051
-0.67625,12,9.656074
-0.745312,12,9.67199
-1.18875,12,9.68742
-0.849687,12,9.700998
-0.945,12,9.711451
-0.887187,12,9.724494
-0.934062,12,9.73791
-0.895,12,9.748557
-0.923125,12,9.759923
-0.6825,12,9.770144
-1.162187,12,9.781936
-1.20125,12,9.796875
-0.898125,12,9.80826
-0.885,12,9.818153
0.015938,12,9.827987
-0.904375,12,9.83897
-0.08875,12,9.851001
-0.148125,12,9.865413
-1.179375,12,9.879964
-0.93875,12,9.909032
-0.6825,12,9.927989
-0.862187,12,9.940562
-1.174687,12,9.951406
-0.899687,12,9.961817
-0.702187,12,9.973197
-0.919375,12,9.98879
-1.160625,12,9.999902
-0.90125,12,10.01014
-0.955937,12,10.02099
-0.798125,12,10.032354
-1.204375,12,10.043606
-0.941875,12,10.055919
-1.116875,12,10.066524
-0.63875,12,10.077716
-1.173125,12,10.089756
-0.910625,12,10.104739
-0.90125,12,10.119251
-0.700625,12,10.135722
-0.693437,12,10.151823
-0.640312,12,10.166614
-1.18875,12,10.176882
-0.6325,12,10.18689
-1.140312,12,10.197088
-0.674687,12,10.207158
-0.655937,12,10.217741
-0.63875,12,10.227723
-1.20125,12,10.237937
-0.652812,12,10.247928
-0.080937,12,10.257966
-0.915312,12,10.267957
-1.204375,12,10.278391
-0.648125,12,10.288521
-0.97875,12,10.298579
3.08625,2,10.30091
-1.168437,12,10.310544
-0.871562,12,10.320479
-1.162187,12,10.33131
-0.677812,12,10.342135
-0.110625,12,10.351986
-1.145,12,10.36197
-0.045,12,10.372196
-0.910625,12,10.382045
-0.941875,12,10.391906
-0.866875,12,10.401859
-0.935625,12,10.411699
-0.948125,12,10.421622
-0.843437,12,10.431421
-0.941875,12,10.442482
-0.880937,12,10.45378
-1.18875,12,10.463719
-1.249062,12,10.473893
-0.671562,12,10.484569
-0.893437,12,10.494492
3.0825,3,10.497337
-1.154375,12,10.506715
-1.190312,12,10.516724
-1.137187,12,10.526341
-1.166875,12,10.536369
-0.896562,12,10.547853
-0.866875,12,10.564359
-0.690312,12,10.577556
-0.62,12,10.588095
-1.184062,12,10.599215
-0.840312,12,10.61292
-0.62625,12,10.626795
-0.877812,12,10.637015
-0.866875,12,10.648899
-0.862187,12,10.664098
-0.88875,12,10.676262
-0.930937,12,10.691285
-1.195,12,10.71047
-1.13875,12,10.726407
-0.891875,12,10.738818
-0.691875,12,10.749144
-1.166875,12,10.759232
-0.91375,12,10.76929
-0.6575,12,10.779584
-0.891875,12,10.789714
-1.177812,12,10.799733
-1.187187,12,10.809783
-0.890312,12,10.819642
-0.652812,12,10.829568
-0.916875,12,10.839294
-0.7075,12,10.849871
-1.096562,12,10.861172
-0.92625,12,10.873944
-0.909062,12,10.886233
-0.571562,12,10.89681
-0.921562,12,10.910008
-1.148125,12,10.922458
3.10125,3,10.926525
-0.6075,12,10.941356
-0.944375,12,10.959047
-0.155938,12,10.989027
-0.9325,12,11.000089
-0.87,12,11.010673
-0.934062,12,11.020917
0.022188,12,11.032442
-0.95125,12,11.042721
-1.137187,12,11.052907
-0.94125,12,11.06339
-1.18875,12,11.073646
